,label,BN246label,x,y,z,mni_x,mni_y,mni_z,gm,NMM,Anat,AnatMacro,BN246,YBA_1,ManualExamination,final_loc
14,LAglT2,lAmyg_L,-26.09946203,11.37866169,-16.48215353,-26.64753757,-3.8937257,-23.89899949,Gray,Left Amygdala,Amygdala (LB),L Amygdala,L Amyg,Left amygdala inferior,,Left amygdala inferior
15,LAglT3,lAmyg_L,-30.89725447,11.37866169,-16.0825941,-31.57532422,-4.284145308,-23.32912189,Gray,Left Amygdala,Amygdala (LB),L Hippocampus,L Amyg,Left amygdala inferior,,Left amygdala inferior
16,LAglT4,Unknown,-36.09486294,10.97941041,-15.68303466,-37.04562157,-5.179713048,-22.90465642,White,Left Cerebral White Matter,Unknown,Unknown,Unknown,Unknown,WM,WM
17,LAglT5,Unknown,-40.89265537,10.97941041,-15.28347522,-42.05810399,-5.746669532,-22.52658503,White,Left Cerebral White Matter,Unknown,Unknown,Unknown,Unknown,WM,WM
18,LAglT6,A22r_L,-46.09026384,10.97941041,-15.28347522,-47.50891025,-6.411410549,-22.70894967,White,Left Cerebral White Matter,Unknown,L Middle Temporal Gyrus,L STG,Left superior middle temporal gyrus A,WM,WM
19,LAglT7,A21r_L,-50.88805628,10.58015913,-14.88391578,-52.56431652,-7.3334122,-22.23216447,White,Left MTG middle temporal gyrus,Unknown,L Middle Temporal Gyrus,L MTG,Left superior middle temporal gyrus A,WM,WM
20,LAglT8,A21r_L,-56.08566475,10.58015913,-14.48435634,-58.10290566,-7.766337492,-21.59490299,Gray,Left MTG middle temporal gyrus,Unknown,L Middle Temporal Gyrus,L MTG,Left inferior middle temporal gyrus A,,Left inferior middle temporal gyrus A
21,LAglT9,A21r_L,-61.28327322,10.58015913,-14.08479691,-63.64091536,-8.241893544,-21.07492254,Gray,Left MTG middle temporal gyrus,Unknown,L Middle Temporal Gyrus,L MTG,Left inferior middle temporal gyrus A,,Left inferior middle temporal gyrus A
22,LaImM1,vIa_L,-33.69596672,27.34871298,-9.290083647,-35.11077824,12.03050025,-13.40977937,Gray,Left AIns anterior insula,Unknown,L Insula Lobe,L INS,Left middle short insular gyrus C,,Left middle short insular gyrus C
23,LaImM10,A8vl_L,-32.89633465,49.3075335,30.26630074,-36.38368202,32.68806852,35.95203763,Gray,Left MFG middle frontal gyrus,Unknown,L Middle Frontal Gyrus,L MFG,Left middle frontal gyrus 4 B,WM,WM
24,LaImM11,A8vl_L,-32.89633465,51.7030412,34.66145456,-36.26216792,34.94652653,41.46140416,Gray,Left MFG middle frontal gyrus,Unknown,L Middle Frontal Gyrus,L MFG,Left middle frontal gyrus 4 B,,Left middle frontal gyrus 4 B
25,LaImM12,Unknown,-32.49651861,52.90079504,38.2574895,-35.67361217,35.98839011,45.82450934,Unknown,Left MFG middle frontal gyrus,Unknown,L Middle Frontal Gyrus,Unknown,Left middle frontal gyrus 4 A,,Left middle frontal gyrus 4 A
26,LaImM2,vIa_L,-33.69596672,29.34496939,-4.894929826,-35.22014076,13.84873081,-8.086346143,Gray,Left AIns anterior insula,Unknown,L Insula Lobe,L INS,Left anterior short insular gyrus B,,Left anterior short insular gyrus B
27,LaImM3,dIa_L,-33.29615068,31.74047709,-0.499776006,-34.95418512,16.07520389,-2.708598169,Gray,Left AIns anterior insula,Unknown,L Insula Lobe,L INS,Left anterior short insular gyrus B,WM,WM
28,LaImM4,dIa_L,-33.29615068,34.13598478,3.895377815,-35.21199248,18.25897052,2.669094241,Gray,Left AIns anterior insula,Unknown,L Insula Lobe,L INS,Left anterior short insular gyrus A,,Left anterior short insular gyrus A
29,LaImM5,A44op_L,-33.29615068,36.53149247,8.290531635,-35.55001634,20.43459221,8.073708787,Gray,Left FO frontal operculum,Unknown,L IFG (p Triangularis),L IFG,Left pars opercularis C,,Left pars opercularis C
30,LaImM6,A44op_L,-32.89633465,38.92700016,12.68568546,-35.46297748,22.63944045,13.56984709,White,Left Cerebral White Matter,Unknown,L IFG (p Triangularis),L IFG,Left posterior pars triangularis B,WM,WM
31,LaImM7,A9/46v_L,-32.89633465,41.72175914,17.08083928,-35.80116142,25.33178406,19.20047573,White,Left Cerebral White Matter,Unknown,L IFG (p Triangularis),L MFG,Left posterior pars triangularis A,WM,WM
32,LaImM8,A9/46v_L,-32.89633465,44.11726683,21.4759931,-36.1097935,27.65376703,24.80385632,White,Left Cerebral White Matter,Unknown,L IFG (p Triangularis),L MFG,Unknown,WM,WM
33,LaImM9,A9/46v_L,-32.89633465,46.51277453,25.87114692,-36.31108363,29.93775328,30.33115417,White,Left MFG middle frontal gyrus,Unknown,L Middle Frontal Gyrus,L MFG,Left middle frontal gyrus 4 B,WM,WM
34,LHplT1,rHipp_L,-28.09854221,0.598877072,-12.88611859,-28.52002972,-15.56514998,-20.51836826,Gray,Left Hippocampus,DG (Hippocampus),L Hippocampus,L Hipp,Left hippocampus pes,,Left hippocampus pes
35,LHplT2,cHipp_L,-32.89633465,0.998128355,-12.08699971,-33.47027788,-15.59835376,-19.55520405,Gray,Left Hippocampus,CA1 (Hippocampus),L Hippocampus,L Hipp,Left hippocampus pes,,Left hippocampus pes
36,LHplT3,A20rv_L,-38.09394312,0.998128355,-11.28788084,-38.84751905,-16.08868736,-18.64466262,White,Left Cerebral White Matter,Unknown,L Fusiform Gyrus,L FuG,Unknown,WM,WM
37,LHplT4,Unknown,-42.89173555,1.397379637,-10.8883214,-43.74085358,-16.21849903,-18.3204322,White,Left Cerebral White Matter,Unknown,L Inferior Temporal Gyrus,Unknown,Unknown,WM,WM
38,LHplT5,aSTS_L,-48.08934402,1.796630919,-10.08920252,-49.09630917,-16.31317673,-17.28436347,White,Left Cerebral White Matter,Unknown,L Middle Temporal Gyrus,L MTG,Left superior middle temporal gyrus B,WM,WM
39,LHplT6,aSTS_L,-52.88713646,2.195882201,-9.689643085,-54.1766741,-16.31178953,-16.64199971,Gray,Left MTG middle temporal gyrus,Unknown,L Middle Temporal Gyrus,L MTG,Left superior middle temporal gyrus B,,Left superior middle temporal gyrus B
40,LHplT7,aSTS_L,-58.08474493,2.595133483,-8.890524209,-59.6536114,-16.4112163,-15.62131893,Gray,Left MTG middle temporal gyrus,Unknown,L Middle Temporal Gyrus,L MTG,Left superior middle temporal gyrus B,,Left superior middle temporal gyrus B
41,LHplT8,aSTS_L,-62.88253736,3.79288733,-8.091405332,-64.73464808,-15.62829813,-14.51651332,Gray,Left MTG middle temporal gyrus,Unknown,L Middle Temporal Gyrus,L MTG,Left superior middle temporal gyrus B,,Left superior middle temporal gyrus B
42,LHplT9,,,,,,,,,,,,,Unknown,OOB,OOB
43,LmCmS1,A24rv_L,-2.910131931,22.55769759,22.27511197,-3.140749883,7.84965001,24.45811837,White,Left Cerebral White Matter,Area 33,L ACC,L CG,Unknown,WM,WM
44,LmCmS10,Unknown,-16.10406113,31.3412258,63.42973411,-17.56123649,14.40679601,74.89751818,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,OOB,OOB
45,LmCmS2,A24rv_L,-4.10958004,23.35620016,27.06982523,-4.51889095,8.324239004,30.23423487,White,Left MCgG middle cingulate gyrus,Area 33,L ACC,L CG,Left cingulate gyrus J,WM,WM
46,LmCmS3,A24cd_L,-5.708844185,24.55395401,31.86453849,-6.294860084,9.187554817,36.06623025,Gray,Left MCgG middle cingulate gyrus,Unknown,L MCC,L CG,Left cingulate gyrus J,,Left cingulate gyrus J
47,LmCmS4,A24cd_L,-7.30810833,25.75170785,36.25969231,-8.158635169,10.0885389,41.46275724,Gray,Left SMC supplementary motor cortex,Unknown,L MCC,L CG,Left superior frontal gyrus 5 A,,Left superior frontal gyrus 5 A
48,LmCmS5,A8m_L,-8.907372475,26.9494617,41.05440557,-9.982066933,10.96610281,47.32545876,White,Left SMC supplementary motor cortex,Unknown,L Posterior-Medial Frontal,L SFG,Left superior frontal gyrus 5 A,WM,WM
49,LmCmS6,A8m_L,-10.50663662,27.74796426,45.44955939,-11.60665079,11.47704466,52.67992458,White,Left Cerebral White Matter,Unknown,L Superior Frontal Gyrus,L SFG,Left superior frontal gyrus 5 A,WM,WM
50,LmCmS7,A6dl_L,-12.10590076,28.94571811,50.24427265,-13.24098725,12.44660075,58.54539645,White,Left Cerebral White Matter,Unknown,L Superior Frontal Gyrus,L SFG,Left superior frontal gyrus 5 C,WM,WM
51,LmCmS8,A8dl_L,-13.70516491,30.14347196,55.03898591,-14.99874934,13.49367585,64.44341205,Gray,Left SFG superior frontal gyrus,Unknown,L Superior Frontal Gyrus,L SFG,Left superior frontal gyrus 6 D,WM,WM
52,LmCmS9,A8dl_L,-14.90461302,30.54272324,59.43413973,-16.26911493,13.79850946,69.9419728,Gray,Left SFG superior frontal gyrus,Unknown,L Superior Frontal Gyrus,L SFG,Left superior frontal gyrus 6 D,,Left superior frontal gyrus 6 D
53,uLmOlF,A11m_L,-12.5057168,46.51277453,-18.08039129,-14.16836084,33.77163805,-20.77485188,Gray,Left MOrG medial orbital gyrus,Area Fo1,L Superior Orbital Gyrus,L OrG,Left frontal orbital 4 A,,Left frontal orbital 4 A
54,LmOlF1,A11l_L,-15.30442905,46.51277453,-16.88171297,-17.10490443,33.55556771,-19.30057049,White,Left MOrG medial orbital gyrus,Area Fo3,L Superior Orbital Gyrus,L OrG,Unknown,WM,WM
55,LmOlF2,A11l_L,-20.90185356,47.31127709,-16.0825941,-23.16381749,34.07614343,-18.16480223,Gray,Left MOrG medial orbital gyrus,Area Fo3,L Middle Orbital Gyrus,L OrG,Left frontal orbital 4 C,,Left frontal orbital 4 C
56,LmOlF3,A11l_L,-25.29982996,48.10977966,-15.28347522,-27.94534569,34.62072544,-16.96816302,Gray,Left POrG posterior orbital gyrus,Area Fo3,L Middle Orbital Gyrus,L OrG,Left frontal orbital 4 D,,Left frontal orbital 4 D
