label,BN246label,x,y,z,mni_x,mni_y,mni_z,gm,NMM,Anat,AnatMacro,BN246,YBA_1,Manual Examination,Notes,,,,,,
RAgIT5,Unknown,40.9605646,13.9558452,-14.441527,42.3150279,-0.7453966,-25.27306,White,Right Cerebral White Matter,Unknown,Unknown,Unknown,Unknown,WM,,,,,,,
RAgIT6,A21r_R,46.1555634,14.355845,-14.441527,47.5242997,-0.3368934,-25.377896,White,Right MTG middle temporal gyrus,Unknown,R Middle Temporal Gyrus,R MTG,Right superior middle temporal gyrus A,WM,,,,,,,
RAgIT7,A21r_R,50.9509468,14.7558448,-14.041765,52.3050468,0.26913401,-24.809233,White,Right MTG middle temporal gyrus,Unknown,R Middle Temporal Gyrus,R MTG,Right superior middle temporal gyrus A,WM,,,,,,,
RAgIT8,A21r_R,55.7463303,14.7558448,-14.041765,57.0448155,0.41497943,-24.501809,Gray,Right MTG middle temporal gyrus,Unknown,R Middle Temporal Gyrus,R MTG,Right superior middle temporal gyrus A,,,,,,,,
RAgIT9,A21r_R,60.1420984,15.1558446,-14.441527,61.3907335,0.86487587,-24.764827,Gray,Right MTG middle temporal gyrus,Unknown,R Middle Temporal Gyrus,R MTG,Right superior middle temporal gyrus A,,,,,,,,
RHpIT1,rHipp_R,22.1786461,2.75585085,-14.041765,23.1025527,-12.01711,-22.143578,Gray,Right Hippocampus,CA1 (Hippocampus),R ParaHippocampal Gyrus,R Hipp,Right hippocampus pes,,CA1,,,,,,
RHpIT2,rHipp_R,26.9740295,2.35585105,-13.242243,27.9988164,-12.51883,-21.408034,Gray,Right Hippocampus,DG (Hippocampus),R Hippocampus,R Hipp,Right hippocampus pes,,dentate gyrus,,,,,,
RHpIT3,cHipp_R,31.769413,2.35585105,-12.44272,32.9032528,-12.625744,-20.795262,Gray,Right Hippocampus,CA1 (Hippocampus),R Hippocampus,R Hipp,Right hippocampus pes,,CA3,,,,,,
RHpIT4,cHipp_R,36.9644117,2.35585105,-12.042959,38.1645213,-12.870714,-20.701571,Gray,Right Cerebral White Matter,CA1 (Hippocampus),R Hippocampus,R Hipp,Unknown,Right medial occipitotemporal gyrus A,,,,,,,
RHpIT5,Unknown,41.7597952,1.95585126,-11.243436,43.0225767,-13.332186,-19.885427,White,Right Cerebral White Matter,Unknown,R Fusiform Gyrus,Unknown,Unknown,WM,,,,,,,
RHpIT6,Unknown,46.5551786,1.95585126,-10.843675,47.8800513,-13.332854,-19.443347,White,Right Cerebral White Matter,Unknown,Unknown,Unknown,Unknown,WM,,,,,,,
RHpIT7,aSTS_R,51.7501774,1.95585126,-10.044152,53.1711928,-13.101129,-18.283213,Gray,Right MTG middle temporal gyrus,Unknown,R Middle Temporal Gyrus,R MTG,Right superior middle temporal gyrus B,WM,,,,,,,
RHpIT8,aSTS_R,56.5455608,1.95585126,-9.6443909,58.019499,-12.896641,-17.481019,Gray,Right MTG middle temporal gyrus,Unknown,R Middle Temporal Gyrus,R MTG,Unknown,Right superior middle temporal gyrus B,,,,,,,
RHpIT9,aSTS_R,61.3409443,1.55585146,-9.2446296,62.8114999,-13.164481,-16.651358,Gray,Right MTG middle temporal gyrus,Unknown,R Middle Temporal Gyrus,R MTG,Right superior middle temporal gyrus B,,,,,,,,
RHpIT10,aSTS_R,66.535943,1.55585146,-8.445107,67.9763943,-12.872683,-15.40762,Gray,Right MTG middle temporal gyrus,Unknown,R Middle Temporal Gyrus,R MTG,Right superior middle temporal gyrus B,OOB,,,,,,,
uLmOlF,A11m_L,-8.1921158,60.3558217,-8.0453457,-9.8307048,51.4088311,-21.94426,Gray,Left MOrG medial orbital gyrus,Area Fo1,L Superior Orbital Gyrus,L OrG,Left frontal orbital 2 B,,,,,,,,
uRAgIT,mAmyg_R,17.7828779,11.9558462,-15.241049,18.5623773,-2.1268671,-24.986204,Gray,Right Amygdala,Amygdala (LB),R ParaHippocampal Gyrus,R Amyg,Right amygdala inferior,,,,,,,,
